Date,Country,Distributor,Brand,Operator,Unit Cost,Amount,Unit Price,Sales
4/24/2018,Canada,Metro,Apple,Tuenti,750,91,1200,109200
11/13/2021,Bolivia,Saga Falabella,Apple,Tuenti,750,32,1200,38400
4/26/2018,Cuba,Ripley,Apple,Tuenti,750,85,1200,102000
3/18/2018,Denmark,Ripley,Apple,Tuenti,750,64,1200,76800
12/9/2021,El Salvador,Saga Falabella,Apple,Tuenti,750,23,1200,27600
5/31/2018,Brasil,Metro,Apple,Tuenti,750,55,1200,66000
1/17/2018,USA,Oeschle,Apple,Tuenti,750,230,1200,276000
11/18/2021,Venezuela,Metro,Apple,Tuenti,750,98,1200,117600
6/25/2019,Uruguay,Metro,Apple,Tuenti,750,38,1200,45600
1/4/2020,United Kingdom,Tottus,Apple,Tuenti,750,114,1200,136800
10/11/2019,El Salvador,Saga Falabella,Apple,Tuenti,750,24,1200,28800
2/11/2019,Portugal,Ripley,Apple,Tuenti,750,39,1200,46800
7/23/2020,Paraguay,Tottus,Apple,Tuenti,750,6,1200,7200
9/27/2018,Switzerland,Ripley,Apple,Tuenti,750,47,1200,56400
10/22/2021,Germany,Ripley,Apple,Tuenti,750,89,1200,106800
9/1/2019,Colombia,Tottus,Apple,Tuenti,750,245,1200,294000
5/11/2019,Denmark,Plaza Vea,Apple,Tuenti,750,109,1200,130800
10/31/2018,Chile,Ripley,Apple,Tuenti,750,98,1200,117600
9/30/2019,Brasil,Tottus,Apple,Tuenti,750,280,1200,336000
10/10/2021,Germany,Oeschle,Apple,Tuenti,750,187,1200,224400
6/9/2018,El Salvador,Ripley,Apple,Tuenti,750,86,1200,103200
5/24/2018,Colombia,Metro,Apple,Tuenti,750,89,1200,106800
5/31/2020,El Salvador,Saga Falabella,Apple,Tuenti,750,34,1200,40800
8/30/2021,Switzerland,Metro,Apple,Tuenti,750,18,1200,21600
8/3/2021,Mexico,Oeschle,Apple,Tuenti,750,129,1200,154800
3/21/2018,Paraguay,Ripley,Apple,Tuenti,750,95,1200,114000
1/21/2018,Cuba,Ripley,Apple,Tuenti,750,25,1200,30000
4/3/2021,Cuba,Ripley,Apple,Tuenti,750,19,1200,22800
10/31/2020,Jamaica,Oeschle,Apple,Tuenti,750,50,1200,60000
9/19/2019,USA,Saga Falabella,Apple,Tuenti,750,16,1200,19200
6/8/2019,El Salvador,Metro,Apple,Tuenti,750,15,1200,18000
10/14/2021,USA,Plaza Vea,Apple,Tuenti,750,185,1200,222000
5/9/2021,USA,Metro,Apple,Tuenti,750,89,1200,106800
7/6/2019,Colombia,Tottus,Apple,Tuenti,750,250,1200,300000
6/3/2020,Cuba,Plaza Vea,Apple,Tuenti,750,94,1200,112800
12/3/2021,Ireland,Oeschle,Apple,Tuenti,750,31,1200,37200
2/21/2020,Cuba,Saga Falabella,Apple,Tuenti,750,39,1200,46800
2/23/2021,Chile,Ripley,Apple,Tuenti,750,60,1200,72000
9/6/2019,Spain,Plaza Vea,Apple,Tuenti,750,166,1200,199200
12/22/2018,Germany,Tottus,Apple,Tuenti,750,130,1200,156000
5/13/2018,Cuba,Oeschle,Apple,Tuenti,750,57,1200,68400
7/26/2019,Denmark,Saga Falabella,Apple,Tuenti,750,16,1200,19200
1/31/2020,Denmark,Plaza Vea,Apple,Tuenti,750,69,1200,82800
7/30/2021,Colombia,Oeschle,Apple,Tuenti,750,157,1200,188400
11/9/2019,Uruguay,Ripley,Apple,Tuenti,750,53,1200,63600
6/12/2021,El Salvador,Metro,Apple,Tuenti,750,138,1200,165600
5/27/2021,Venezuela,Metro,Apple,Tuenti,750,92,1200,110400
6/19/2018,Portugal,Metro,Apple,Tuenti,750,135,1200,162000
9/13/2018,Switzerland,Plaza Vea,Apple,Tuenti,750,176,1200,211200
1/1/2019,Denmark,Oeschle,Apple,Tuenti,750,105,1200,126000
1/8/2019,Brasil,Plaza Vea,Apple,Tuenti,750,153,1200,183600
6/27/2018,Brasil,Metro,Apple,Tuenti,750,86,1200,103200
3/27/2018,El Salvador,Oeschle,Apple,Tuenti,750,126,1200,151200
10/28/2020,Germany,Tottus,Apple,Tuenti,750,64,1200,76800
12/23/2021,Jamaica,Saga Falabella,Apple,Tuenti,750,5,1200,6000
4/4/2021,Portugal,Metro,Apple,Tuenti,750,134,1200,160800
8/5/2018,Switzerland,Plaza Vea,Apple,Tuenti,750,54,1200,64800
4/28/2021,Guatemala,Metro,Apple,Tuenti,750,9,1200,10800
12/22/2021,Spain,Ripley,Apple,Tuenti,750,48,1200,57600
4/24/2018,Canada,Metro,Apple,Tuenti,750,91,1200,109200
11/13/2021,Bolivia,Saga Falabella,Apple,Tuenti,750,32,1200,38400
4/26/2018,Cuba,Ripley,Apple,Tuenti,750,85,1200,102000
3/18/2018,Denmark,Ripley,Apple,Tuenti,750,64,1200,76800
12/9/2021,El Salvador,Saga Falabella,Apple,Tuenti,750,23,1200,27600
5/31/2018,Brasil,Metro,Apple,Tuenti,750,55,1200,66000
1/17/2018,USA,Oeschle,Apple,Tuenti,750,230,1200,276000
11/18/2021,Venezuela,Metro,Apple,Tuenti,750,98,1200,117600
6/25/2019,Uruguay,Metro,Apple,Tuenti,750,38,1200,45600
1/4/2020,United Kingdom,Tottus,Apple,Tuenti,750,114,1200,136800
10/11/2019,El Salvador,Saga Falabella,Apple,Tuenti,750,24,1200,28800
2/11/2019,Portugal,Ripley,Apple,Tuenti,750,39,1200,46800
7/23/2020,Paraguay,Tottus,Apple,Tuenti,750,6,1200,7200
9/27/2018,Switzerland,Ripley,Apple,Tuenti,750,47,1200,56400
10/22/2021,Germany,Ripley,Apple,Tuenti,750,89,1200,106800
9/1/2019,Colombia,Tottus,Apple,Tuenti,750,245,1200,294000
5/11/2019,Denmark,Plaza Vea,Apple,Tuenti,750,109,1200,130800
10/31/2018,Chile,Ripley,Apple,Tuenti,750,98,1200,117600
9/30/2019,Brasil,Tottus,Apple,Tuenti,750,280,1200,336000
10/10/2021,Germany,Oeschle,Apple,Tuenti,750,187,1200,224400
6/9/2018,El Salvador,Ripley,Apple,Tuenti,750,86,1200,103200
1/22/2021,Portugal,Ripley,Apple,Bitel,750,7,1200,8400
8/14/2021,Mexico,Oeschle,Apple,Bitel,750,114,1200,136800
11/20/2020,Paraguay,Ripley,Apple,Bitel,750,57,1200,68400
10/13/2021,Venezuela,Oeschle,Apple,Bitel,750,66,1200,79200
8/22/2020,Germany,Saga Falabella,Apple,Bitel,750,20,1200,24000
3/17/2018,El Salvador,Plaza Vea,Apple,Bitel,750,14,1200,16800
12/19/2020,USA,Plaza Vea,Apple,Bitel,750,10,1200,12000
2/24/2021,Brasil,Oeschle,Apple,Bitel,750,8,1200,9600
2/13/2019,Paraguay,Plaza Vea,Apple,Bitel,750,50,1200,60000
12/22/2018,Guatemala,Plaza Vea,Apple,Bitel,750,60,1200,72000
1/7/2019,Germany,Tottus,Apple,Bitel,750,36,1200,43200
9/23/2018,Canada,Ripley,Apple,Bitel,750,44,1200,52800
11/24/2021,Paraguay,Tottus,Apple,Bitel,750,151,1200,181200
10/31/2020,Ireland,Ripley,Apple,Bitel,750,49,1200,58800
7/20/2020,Spain,Metro,Apple,Bitel,750,81,1200,97200
5/12/2021,Germany,Metro,Apple,Bitel,750,63,1200,75600
4/21/2018,Peru,Plaza Vea,Apple,Bitel,750,39,1200,46800
6/29/2020,Denmark,Oeschle,Apple,Bitel,750,103,1200,123600
8/7/2021,Paraguay,Metro,Apple,Bitel,750,75,1200,90000
10/22/2021,Denmark,Plaza Vea,Apple,Bitel,750,15,1200,18000
9/20/2018,Argentina,Tottus,Apple,Bitel,750,161,1200,193200
9/3/2021,Peru,Plaza Vea,Apple,Bitel,750,27,1200,32400
5/18/2020,Jamaica,Metro,Apple,Bitel,750,56,1200,67200
11/4/2020,Jamaica,Plaza Vea,Apple,Bitel,750,93,1200,111600
2/16/2021,United Kingdom,Ripley,Apple,Bitel,750,44,1200,52800
6/26/2021,Ireland,Ripley,Apple,Bitel,750,3,1200,3600
9/23/2021,Venezuela,Ripley,Apple,Bitel,750,51,1200,61200
5/13/2018,Argentina,Ripley,Apple,Bitel,750,22,1200,26400
9/1/2021,Ireland,Saga Falabella,Apple,Bitel,750,16,1200,19200
2/5/2019,France,Oeschle,Apple,Bitel,750,117,1200,140400
1/10/2021,Jamaica,Saga Falabella,Apple,Bitel,750,1,1200,1200
10/20/2018,Spain,Plaza Vea,Apple,Bitel,750,73,1200,87600
5/14/2019,Canada,Ripley,Apple,Bitel,750,55,1200,66000
3/28/2020,Brasil,Ripley,Apple,Bitel,750,28,1200,33600
5/17/2020,France,Saga Falabella,Apple,Bitel,750,3,1200,3600
2/26/2019,Peru,Ripley,Apple,Bitel,750,27,1200,32400
4/15/2020,Ireland,Saga Falabella,Apple,Bitel,750,14,1200,16800
12/23/2019,Chile,Ripley,Apple,Bitel,750,14,1200,16800
7/7/2019,Mexico,Saga Falabella,Apple,Bitel,750,16,1200,19200
12/18/2019,United Kingdom,Tottus,Apple,Bitel,750,131,1200,157200
11/14/2021,Bolivia,Ripley,Apple,Bitel,750,22,1200,26400
10/5/2020,El Salvador,Ripley,Apple,Bitel,750,1,1200,1200
11/12/2021,Canada,Saga Falabella,Apple,Bitel,750,7,1200,8400
1/3/2020,Germany,Metro,Apple,Bitel,750,87,1200,104400
7/7/2019,Switzerland,Plaza Vea,Apple,Bitel,750,23,1200,27600
3/15/2021,Mexico,Saga Falabella,Apple,Bitel,750,14,1200,16800
12/8/2021,Jamaica,Oeschle,Apple,Bitel,750,14,1200,16800
10/20/2021,Argentina,Saga Falabella,Apple,Bitel,750,11,1200,13200
1/18/2018,Uruguay,Oeschle,Apple,Bitel,750,68,1200,81600
7/9/2019,Spain,Saga Falabella,Apple,Bitel,750,1,1200,1200
10/1/2018,Venezuela,Tottus,Apple,Bitel,750,66,1200,79200
1/22/2021,Portugal,Ripley,Apple,Bitel,750,7,1200,8400
8/14/2021,Mexico,Oeschle,Apple,Bitel,750,114,1200,136800
11/20/2020,Paraguay,Ripley,Apple,Bitel,750,57,1200,68400
10/13/2021,Venezuela,Oeschle,Apple,Bitel,750,66,1200,79200
8/22/2020,Germany,Saga Falabella,Apple,Bitel,750,20,1200,24000
3/17/2018,El Salvador,Plaza Vea,Apple,Bitel,750,14,1200,16800
12/19/2020,USA,Plaza Vea,Apple,Bitel,750,10,1200,12000
2/24/2021,Brasil,Oeschle,Apple,Bitel,750,8,1200,9600
2/13/2019,Paraguay,Plaza Vea,Apple,Bitel,750,50,1200,60000
12/22/2018,Guatemala,Plaza Vea,Apple,Bitel,750,60,1200,72000
1/7/2019,Germany,Tottus,Apple,Bitel,750,36,1200,43200
9/23/2018,Canada,Ripley,Apple,Bitel,750,44,1200,52800
11/24/2021,Paraguay,Tottus,Apple,Bitel,750,151,1200,181200
10/31/2020,Ireland,Ripley,Apple,Bitel,750,49,1200,58800
7/20/2020,Spain,Metro,Apple,Bitel,750,81,1200,97200
5/12/2021,Germany,Metro,Apple,Bitel,750,63,1200,75600
4/21/2018,Peru,Plaza Vea,Apple,Bitel,750,39,1200,46800
6/29/2020,Denmark,Oeschle,Apple,Bitel,750,103,1200,123600
8/7/2021,Paraguay,Metro,Apple,Bitel,750,75,1200,90000
10/22/2021,Denmark,Plaza Vea,Apple,Bitel,750,15,1200,18000
9/20/2018,Argentina,Tottus,Apple,Bitel,750,161,1200,193200
9/3/2021,Peru,Plaza Vea,Apple,Bitel,750,27,1200,32400
5/18/2020,Jamaica,Metro,Apple,Bitel,750,56,1200,67200
11/4/2020,Jamaica,Plaza Vea,Apple,Bitel,750,93,1200,111600
2/16/2021,United Kingdom,Ripley,Apple,Bitel,750,44,1200,52800
6/26/2021,Ireland,Ripley,Apple,Bitel,750,3,1200,3600
9/23/2021,Venezuela,Ripley,Apple,Bitel,750,51,1200,61200
5/13/2018,Argentina,Ripley,Apple,Bitel,750,22,1200,26400
9/1/2021,Ireland,Saga Falabella,Apple,Bitel,750,16,1200,19200
2/5/2019,France,Oeschle,Apple,Bitel,750,117,1200,140400
1/10/2021,Jamaica,Saga Falabella,Apple,Bitel,750,1,1200,1200
10/20/2018,Spain,Plaza Vea,Apple,Bitel,750,73,1200,87600
5/14/2019,Canada,Ripley,Apple,Bitel,750,55,1200,66000
3/28/2020,Brasil,Ripley,Apple,Bitel,750,28,1200,33600
5/17/2020,France,Saga Falabella,Apple,Bitel,750,3,1200,3600
2/26/2019,Peru,Ripley,Apple,Bitel,750,27,1200,32400
4/15/2020,Ireland,Saga Falabella,Apple,Bitel,750,14,1200,16800
12/23/2019,Chile,Ripley,Apple,Bitel,750,14,1200,16800
7/7/2019,Mexico,Saga Falabella,Apple,Bitel,750,16,1200,19200
12/18/2019,United Kingdom,Tottus,Apple,Bitel,750,131,1200,157200
11/14/2021,Bolivia,Ripley,Apple,Bitel,750,22,1200,26400
10/5/2020,El Salvador,Ripley,Apple,Bitel,750,1,1200,1200
11/12/2021,Canada,Saga Falabella,Apple,Bitel,750,7,1200,8400
1/3/2020,Germany,Metro,Apple,Bitel,750,87,1200,104400
7/7/2019,Switzerland,Plaza Vea,Apple,Bitel,750,23,1200,27600
3/15/2021,Mexico,Saga Falabella,Apple,Bitel,750,14,1200,16800
12/8/2021,Jamaica,Oeschle,Apple,Bitel,750,14,1200,16800
10/20/2021,Argentina,Saga Falabella,Apple,Bitel,750,11,1200,13200
1/18/2018,Uruguay,Oeschle,Apple,Bitel,750,68,1200,81600
7/9/2019,Spain,Saga Falabella,Apple,Bitel,750,1,1200,1200
10/1/2018,Venezuela,Tottus,Apple,Bitel,750,66,1200,79200
10/11/2021,Argentina,Plaza Vea,Apple,Claro,750,70,1200,84000
3/20/2021,Colombia,Ripley,Apple,Claro,750,17,1200,20400
1/22/2018,Argentina,Saga Falabella,Apple,Claro,750,18,1200,21600
4/25/2019,Bolivia,Metro,Apple,Claro,750,56,1200,67200
1/23/2021,Jamaica,Ripley,Apple,Claro,750,5,1200,6000
8/10/2018,Brasil,Saga Falabella,Apple,Claro,750,6,1200,7200
11/12/2020,Venezuela,Saga Falabella,Apple,Claro,750,12,1200,14400
11/16/2018,Canada,Saga Falabella,Apple,Claro,750,17,1200,20400
6/21/2020,Colombia,Plaza Vea,Apple,Claro,750,40,1200,48000
8/13/2021,Guatemala,Saga Falabella,Apple,Claro,750,14,1200,16800
1/18/2021,Switzerland,Tottus,Apple,Claro,750,74,1200,88800
11/2/2019,Paraguay,Metro,Apple,Claro,750,19,1200,22800
12/4/2019,USA,Saga Falabella,Apple,Claro,750,18,1200,21600
9/19/2019,Argentina,Plaza Vea,Apple,Claro,750,48,1200,57600
8/14/2020,Brasil,Ripley,Apple,Claro,750,17,1200,20400
11/15/2018,Switzerland,Ripley,Apple,Claro,750,21,1200,25200
4/26/2019,Chile,Metro,Apple,Claro,750,9,1200,10800
10/22/2021,Jamaica,Oeschle,Apple,Claro,750,42,1200,50400
3/21/2018,Brasil,Ripley,Apple,Claro,750,17,1200,20400
10/31/2018,Venezuela,Ripley,Apple,Claro,750,28,1200,33600
7/21/2019,Denmark,Tottus,Apple,Claro,750,3,1200,3600
3/15/2020,El Salvador,Tottus,Apple,Claro,750,102,1200,122400
8/22/2019,Cuba,Oeschle,Apple,Claro,750,48,1200,57600
6/1/2018,Venezuela,Ripley,Apple,Claro,750,13,1200,15600
10/20/2020,Spain,Ripley,Apple,Claro,750,5,1200,6000
4/21/2021,Canada,Tottus,Apple,Claro,750,85,1200,102000
12/26/2019,Chile,Plaza Vea,Apple,Claro,750,52,1200,62400
6/23/2018,Brasil,Saga Falabella,Apple,Claro,750,18,1200,21600
5/14/2019,Spain,Plaza Vea,Apple,Claro,750,4,1200,4800
11/1/2020,Chile,Tottus,Apple,Claro,750,107,1200,128400
2/16/2021,El Salvador,Oeschle,Apple,Claro,750,70,1200,84000
5/22/2018,Peru,Plaza Vea,Apple,Claro,750,40,1200,48000
6/16/2018,Cuba,Oeschle,Apple,Claro,750,53,1200,63600
5/12/2019,El Salvador,Oeschle,Apple,Claro,750,67,1200,80400
9/18/2020,Cuba,Ripley,Apple,Claro,750,34,1200,40800
1/25/2021,Chile,Oeschle,Apple,Claro,750,75,1200,90000
3/17/2021,Germany,Ripley,Apple,Claro,750,28,1200,33600
6/8/2021,Jamaica,Oeschle,Apple,Claro,750,81,1200,97200
2/21/2021,Cuba,Plaza Vea,Apple,Claro,750,4,1200,4800
8/27/2021,Paraguay,Saga Falabella,Apple,Claro,750,16,1200,19200
6/19/2019,Germany,Ripley,Apple,Claro,750,31,1200,37200
9/4/2021,Argentina,Saga Falabella,Apple,Claro,750,16,1200,19200
12/4/2020,Canada,Metro,Apple,Claro,750,17,1200,20400
2/21/2021,Paraguay,Metro,Apple,Claro,750,33,1200,39600
3/30/2019,Switzerland,Ripley,Apple,Claro,750,22,1200,26400
4/4/2019,France,Plaza Vea,Apple,Claro,750,45,1200,54000
7/31/2018,Argentina,Saga Falabella,Apple,Claro,750,16,1200,19200
5/2/2021,France,Metro,Apple,Claro,750,29,1200,34800
10/11/2021,Argentina,Plaza Vea,Apple,Claro,750,70,1200,84000
3/20/2021,Colombia,Ripley,Apple,Claro,750,17,1200,20400
1/22/2018,Argentina,Saga Falabella,Apple,Claro,750,18,1200,21600
4/25/2019,Bolivia,Metro,Apple,Claro,750,56,1200,67200
1/23/2021,Jamaica,Ripley,Apple,Claro,750,5,1200,6000
8/10/2018,Brasil,Saga Falabella,Apple,Claro,750,6,1200,7200
11/12/2020,Venezuela,Saga Falabella,Apple,Claro,750,12,1200,14400
11/16/2018,Canada,Saga Falabella,Apple,Claro,750,17,1200,20400
6/21/2020,Colombia,Plaza Vea,Apple,Claro,750,40,1200,48000
8/13/2021,Guatemala,Saga Falabella,Apple,Claro,750,14,1200,16800
1/18/2021,Switzerland,Tottus,Apple,Claro,750,74,1200,88800
11/2/2019,Paraguay,Metro,Apple,Claro,750,19,1200,22800
12/4/2019,USA,Saga Falabella,Apple,Claro,750,18,1200,21600
9/19/2019,Argentina,Plaza Vea,Apple,Claro,750,48,1200,57600
8/14/2020,Brasil,Ripley,Apple,Claro,750,17,1200,20400
11/15/2018,Switzerland,Ripley,Apple,Claro,750,21,1200,25200
4/26/2019,Chile,Metro,Apple,Claro,750,9,1200,10800
10/22/2021,Jamaica,Oeschle,Apple,Claro,750,42,1200,50400
3/21/2018,Brasil,Ripley,Apple,Claro,750,17,1200,20400
10/31/2018,Venezuela,Ripley,Apple,Claro,750,28,1200,33600
7/21/2019,Denmark,Tottus,Apple,Claro,750,3,1200,3600
3/15/2020,El Salvador,Tottus,Apple,Claro,750,102,1200,122400
8/22/2019,Cuba,Oeschle,Apple,Claro,750,48,1200,57600
6/1/2018,Venezuela,Ripley,Apple,Claro,750,13,1200,15600
10/20/2020,Spain,Ripley,Apple,Claro,750,5,1200,6000
4/21/2021,Canada,Tottus,Apple,Claro,750,85,1200,102000
12/26/2019,Chile,Plaza Vea,Apple,Claro,750,52,1200,62400
6/23/2018,Brasil,Saga Falabella,Apple,Claro,750,18,1200,21600
5/14/2019,Spain,Plaza Vea,Apple,Claro,750,4,1200,4800
11/1/2020,Chile,Tottus,Apple,Claro,750,107,1200,128400
2/16/2021,El Salvador,Oeschle,Apple,Claro,750,70,1200,84000
5/22/2018,Peru,Plaza Vea,Apple,Claro,750,40,1200,48000
6/16/2018,Cuba,Oeschle,Apple,Claro,750,53,1200,63600
5/12/2019,El Salvador,Oeschle,Apple,Claro,750,67,1200,80400
9/18/2020,Cuba,Ripley,Apple,Claro,750,34,1200,40800
1/25/2021,Chile,Oeschle,Apple,Claro,750,75,1200,90000
3/17/2021,Germany,Ripley,Apple,Claro,750,28,1200,33600
6/8/2021,Jamaica,Oeschle,Apple,Claro,750,81,1200,97200
2/21/2021,Cuba,Plaza Vea,Apple,Claro,750,4,1200,4800
8/27/2021,Paraguay,Saga Falabella,Apple,Claro,750,16,1200,19200
6/19/2019,Germany,Ripley,Apple,Claro,750,31,1200,37200
9/4/2021,Argentina,Saga Falabella,Apple,Claro,750,16,1200,19200
12/4/2020,Canada,Metro,Apple,Claro,750,17,1200,20400
2/21/2021,Paraguay,Metro,Apple,Claro,750,33,1200,39600
3/30/2019,Switzerland,Ripley,Apple,Claro,750,22,1200,26400
4/4/2019,France,Plaza Vea,Apple,Claro,750,45,1200,54000
7/31/2018,Argentina,Saga Falabella,Apple,Claro,750,16,1200,19200
5/2/2021,France,Metro,Apple,Claro,750,29,1200,34800
6/14/2019,Bolivia,Tottus,Apple,Entel,750,172,1200,206400
6/30/2018,Denmark,Tottus,Apple,Entel,750,61,1200,73200
8/2/2021,Peru,Tottus,Apple,Entel,750,47,1200,56400
5/7/2021,Paraguay,Saga Falabella,Apple,Entel,750,10,1200,12000
9/1/2020,Uruguay,Metro,Apple,Entel,750,43,1200,51600
4/16/2020,France,Oeschle,Apple,Entel,750,104,1200,124800
8/23/2021,Colombia,Metro,Apple,Entel,750,44,1200,52800
6/1/2018,Guatemala,Oeschle,Apple,Entel,750,166,1200,199200
12/22/2020,Denmark,Ripley,Apple,Entel,750,7,1200,8400
5/29/2019,Ireland,Plaza Vea,Apple,Entel,750,86,1200,103200
11/18/2021,Paraguay,Plaza Vea,Apple,Entel,750,141,1200,169200
4/26/2018,United Kingdom,Metro,Apple,Entel,750,38,1200,45600
2/21/2018,Argentina,Ripley,Apple,Entel,750,70,1200,84000
1/17/2020,Ireland,Tottus,Apple,Entel,750,77,1200,92400
1/6/2021,Guatemala,Tottus,Apple,Entel,750,131,1200,157200
3/24/2021,Portugal,Saga Falabella,Apple,Entel,750,14,1200,16800
10/6/2018,Ireland,Ripley,Apple,Entel,750,55,1200,66000
1/7/2020,Guatemala,Saga Falabella,Apple,Entel,750,3,1200,3600
12/6/2020,Brasil,Plaza Vea,Apple,Entel,750,23,1200,27600
3/14/2020,Guatemala,Tottus,Apple,Entel,750,172,1200,206400
7/1/2020,Canada,Oeschle,Apple,Entel,750,1,1200,1200
4/13/2021,Brasil,Metro,Apple,Entel,750,92,1200,110400
8/19/2021,Colombia,Saga Falabella,Apple,Entel,750,31,1200,37200
3/8/2018,Denmark,Saga Falabella,Apple,Entel,750,23,1200,27600
12/9/2021,Paraguay,Plaza Vea,Apple,Entel,750,139,1200,166800
3/11/2018,Uruguay,Saga Falabella,Apple,Entel,750,33,1200,39600
4/7/2021,Paraguay,Ripley,Apple,Entel,750,53,1200,63600
9/9/2021,Mexico,Plaza Vea,Apple,Entel,750,151,1200,181200
9/16/2018,USA,Plaza Vea,Apple,Entel,750,41,1200,49200
6/26/2019,Uruguay,Saga Falabella,Apple,Entel,750,27,1200,32400
10/2/2021,Germany,Tottus,Apple,Entel,750,83,1200,99600
2/13/2021,Denmark,Saga Falabella,Apple,Entel,750,28,1200,33600
7/15/2021,Venezuela,Tottus,Apple,Entel,750,24,1200,28800
2/2/2019,Spain,Oeschle,Apple,Entel,750,53,1200,63600
9/27/2021,Venezuela,Plaza Vea,Apple,Entel,750,114,1200,136800
8/9/2021,Switzerland,Oeschle,Apple,Entel,750,14,1200,16800
11/28/2020,United Kingdom,Saga Falabella,Apple,Entel,750,3,1200,3600
2/7/2018,Colombia,Tottus,Apple,Entel,750,181,1200,217200
12/26/2021,Germany,Metro,Apple,Entel,750,34,1200,40800
5/5/2019,Jamaica,Tottus,Apple,Entel,750,173,1200,207600
11/11/2020,Brasil,Saga Falabella,Apple,Entel,750,6,1200,7200
2/24/2019,Bolivia,Ripley,Apple,Entel,750,66,1200,79200
3/19/2021,Uruguay,Ripley,Apple,Entel,750,39,1200,46800
5/2/2019,Bolivia,Tottus,Apple,Entel,750,128,1200,153600
7/18/2018,United Kingdom,Metro,Apple,Entel,750,109,1200,130800
1/11/2018,Cuba,Oeschle,Apple,Entel,750,178,1200,213600
6/14/2019,Bolivia,Tottus,Apple,Entel,750,172,1200,206400
6/30/2018,Denmark,Tottus,Apple,Entel,750,61,1200,73200
8/2/2021,Peru,Tottus,Apple,Entel,750,47,1200,56400
5/7/2021,Paraguay,Saga Falabella,Apple,Entel,750,10,1200,12000
9/1/2020,Uruguay,Metro,Apple,Entel,750,43,1200,51600
4/16/2020,France,Oeschle,Apple,Entel,750,104,1200,124800
8/23/2021,Colombia,Metro,Apple,Entel,750,44,1200,52800
6/1/2018,Guatemala,Oeschle,Apple,Entel,750,166,1200,199200
12/22/2020,Denmark,Ripley,Apple,Entel,750,7,1200,8400
5/29/2019,Ireland,Plaza Vea,Apple,Entel,750,86,1200,103200
11/18/2021,Paraguay,Plaza Vea,Apple,Entel,750,141,1200,169200
4/26/2018,United Kingdom,Metro,Apple,Entel,750,38,1200,45600
2/21/2018,Argentina,Ripley,Apple,Entel,750,70,1200,84000
1/17/2020,Ireland,Tottus,Apple,Entel,750,77,1200,92400
